objectId,witness
sp_401_Normalized,"{""latestCommentAuthorName"":"""",""groupAssigned"":"""",""ticketTitle"":"""",""organizationName"":"""",""dueDate"":"""",""externalId"":"""",""ticketType"":""Question"",""priority"":""Low"",""latestComment"":"""",""url"":"""",""via"":"""",""tags"":"""",""organizationId"":0,""createdAt"":"""",""latestCommentIsPublic"":false,""inBusinessHours"":false,""ccNames"":"""",""brand"":"""",""ticketId"":0,""account"":"""",""status"":""New"",""updatedAt"":""""}"
sp_125_Normalized,{}
sp_292_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{},""enabled"":true}"
sp_187_Normalized,{}
sp_121_Normalized,{}
sp_133_Normalized,{}
sp_393_Normalized,{}
sp_319_Normalized,"{""formId"":""""}"
sp_25_Normalized,{}
sp_126_Normalized,{}
sp_210_Normalized,"{""cacheSize"":0,""repositories"":[]}"
sp_10_Normalized,{}
sp_357_Normalized,"{""pojo"":{""fieldName"":""user_id"",""valueForWhichEventWillBeDeleted"":""""}}"
sp_122_Normalized,{}
sp_134_Normalized,{}
sp_132_Normalized,{}
sp_152_Normalized,{}
sp_5_Normalized,"{""dateTime"":""""}"
sp_131_Normalized,{}
sp_203_Normalized,"{""schema"":""iglu:-/-/-/0-0-0"",""data"":{""name"":"""",""tasks"":[]}}"
sp_291_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{},""enabled"":true}"
sp_201_Normalized,"{""text"":""""}"
sp_376_Normalized,"{""awsRegion"":"""",""auth"":null,""purpose"":""ENRICHED_EVENTS"",""manifest"":"""",""stageUrl"":"""",""warehouse"":"""",""snowflakeRegion"":"""",""input"":"""",""database"":"""",""password"":"""",""stage"":"""",""name"":"""",""account"":"""",""username"":""""}"
sp_373_Normalized,"{""types"":[],""timestamps"":{""min"":"""",""max"":"""",""jobCompleted"":"""",""jobStarted"":""""},""compression"":""GZIP"",""processor"":{""artifact"":"""",""version"":""""},""base"":""""}"
sp_6_Normalized,"{""dateTime"":""""}"
sp_24_Normalized,{}
sp_23_Normalized,{}
sp_211_Normalized,"{""cacheSize"":0,""repositories"":[]}"
sp_377_Normalized,"{""awsRegion"":"""",""purpose"":""ENRICHED_EVENTS"",""auth"":null,""manifest"":"""",""stageUrl"":"""",""warehouse"":"""",""snowflakeRegion"":"""",""input"":"""",""password"":"""",""database"":"""",""stage"":"""",""name"":"""",""account"":"""",""username"":""""}"
sp_21_Normalized,{}
sp_300_Normalized,"{""osVersion"":"""",""osType"":"""",""deviceModel"":"""",""deviceManufacturer"":""""}"
sp_213_Normalized,"{""cacheSize"":0,""repositories"":[]}"
sp_212_Normalized,"{""cacheSize"":0,""repositories"":[]}"
sp_337_Normalized,"{""payload"":"""",""failure"":false,""processor"":{""artifact"":"""",""version"":""0.0.0""}}"
sp_361_Normalized,"{""typesSubscription"":""\u0000\u0000\u0000"",""input"":""\u0000\u0000\u0000"",""load"":{""mode"":""FILE_LOADS"",""frequency"":100},""purpose"":""ENRICHED_EVENTS"",""name"":"""",""datasetId"":"""",""tableId"":"""",""id"":"""",""projectId"":"""",""badRows"":""\u0000\u0000\u0000"",""failedInserts"":""\u0000\u0000\u0000"",""typesTopic"":""""}"
sp_385_Normalized,{}
sp_189_Normalized,{}
sp_191_Normalized,{}
sp_119_Normalized,{}
sp_115_Normalized,{}
sp_120_Normalized,{}
sp_195_Normalized,{}
sp_7_Normalized,"{""dateTime"":""""}"
sp_417_Normalized,{}
sp_20_Normalized,{}
sp_204_Normalized,"{""jobName"":"""",""runDuration"":"""",""applicationContext"":{""name"":"""",""version"":""0.0.0""},""startTime"":"""",""jobReference"":"""",""runReference"":"""",""runState"":""RUNNING"",""taskStates"":[],""factfile"":"""",""tags"":{}}"
sp_374_Normalized,"{""types"":[],""timestamps"":{""min"":"""",""max"":"""",""jobCompleted"":"""",""jobStarted"":""""},""compression"":""GZIP"",""processor"":{""artifact"":"""",""version"":""""},""base"":""""}"
sp_193_Normalized,{}
sp_163_Normalized,"{""service_key"":"""",""event_type"":""trigger"",""description"":""""}"
sp_14_Normalized,"{""datetime"":"""",""id"":""""}"
sp_181_Normalized,{}
