objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o39494,619,1822,6,0,0,1,0,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o74171,619,1397,1,0,0,0,0,0,0,0,1,0,0,0,0,0,true,false,true,2,,,,,
o44189,619,2753,6,0,0,0,1,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
o41659,619,1866,2,0,0,0,0,0,0,0,0,1,0,0,0,0,true,false,true,2,,,,,
o91408,620,437,1,0,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o12607,620,1781,3,0,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o9951,620,4480,8,0,0,0,2,0,0,1,3,0,1,0,1,0,true,false,true,2,,,,,
o87829,621,676,1,0,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o9814,622,2118,58,0,0,0,4,0,1,0,3,0,46,2,1,1,true,false,true,4,,,,,
o88608,622,2371,38,0,0,5,22,0,1,0,0,0,8,0,1,0,true,false,true,2,,,,,
o6228,623,1748,5,0,0,0,2,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o64879,623,901,3,0,0,0,0,0,0,0,0,0,2,0,0,1,true,false,true,2,,,,,
o21474,624,2548,7,0,0,0,2,0,0,0,1,0,2,0,1,0,true,false,true,2,,,,,
o84352,624,2177,6,0,0,0,1,0,0,0,1,0,1,0,0,1,true,false,true,2,,,,,
o21847,624,3296,7,0,0,1,0,0,0,1,1,0,1,0,1,1,true,false,true,2,,,,,
o39397,624,1510,3,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o90265,624,1681,4,0,0,0,1,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o17661,624,1129,4,0,0,0,1,0,0,0,0,0,0,1,0,1,true,false,true,2,,,,,
o60732,625,1494,5,0,0,0,1,0,0,1,0,0,1,0,0,1,true,false,true,2,,,,,
o17637,625,1259,4,0,0,0,1,0,0,0,1,0,0,0,0,1,true,false,true,2,,,,,
o81497,627,1918,4,0,0,0,1,0,0,0,1,0,1,0,1,0,true,false,true,2,,,,,
o8412,627,2509,161,0,0,0,152,0,1,1,1,0,2,0,0,1,true,false,true,2,,,,,
o17395,627,64,1,0,0,1,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o65925,628,2388,7,0,0,0,1,0,1,0,1,0,2,0,0,1,true,false,true,2,,,,,
o64535,628,3635,6,0,1,0,0,0,0,1,1,1,0,1,1,0,true,false,true,2,,,,,
o70376,628,1876,9,0,0,0,4,0,0,0,0,1,2,0,0,0,true,false,true,2,,,,,
o9772,629,4221,9691,0,0,0,1702,0,5762,1,2223,0,1,0,0,1,true,false,true,2,,,,,
o71442,629,809,1,0,0,0,0,0,0,0,1,0,0,0,0,0,true,false,true,2,,,,,
o42215,630,808,2,0,0,0,0,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o81841,630,2537,5,0,0,0,1,0,0,0,1,0,1,0,1,0,true,false,true,2,,,,,
o44455,630,779,1,0,0,0,0,0,0,0,0,1,0,0,0,0,true,false,true,2,,,,,
o30126,630,1476,6,0,0,0,0,0,1,1,0,0,2,1,0,0,true,false,true,2,,,,,
o82723,632,809,5,0,0,0,1,0,2,0,1,0,1,0,0,0,true,false,true,2,,,,,
o66165,632,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o39214,633,744,2,0,0,0,0,0,0,1,0,0,0,0,0,1,true,false,true,2,,,,,
o83902,633,1599,4,0,0,0,0,0,0,0,0,0,2,0,0,1,true,false,true,2,,,,,
o67671,634,3074,5,0,0,0,1,0,0,0,2,0,0,0,0,0,true,false,true,2,,,,,
o43995,634,4214,12,0,0,0,3,0,0,0,4,1,1,0,1,1,true,false,true,2,,,,,
o51081,635,1401,4,0,0,0,0,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o2140,635,730,2,0,0,0,0,0,1,0,0,0,0,0,1,0,true,false,true,2,,,,,
o46379,635,1420,3,0,0,0,1,0,0,0,1,0,0,0,1,0,true,false,true,2,,,,,
o90373,635,1056,3,0,0,0,1,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o39396,635,3048,6,0,0,0,2,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o30423,636,7309,10,1,0,0,1,0,0,2,2,0,1,1,1,0,true,false,true,2,,,,,
o63981,636,2618,3,0,0,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o58486,636,2883,5,0,0,0,0,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o80825,637,1753,4,0,0,0,2,0,0,0,1,0,0,0,0,0,true,false,true,2,,,,,
o73941,637,1119,2,0,0,0,0,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o48006,638,3334,4,0,0,0,0,0,1,0,1,0,1,0,1,0,true,false,true,2,,,,,
o69997,638,2491,5,0,0,1,1,0,0,0,1,0,1,0,1,0,true,false,true,2,,,,,
o90334,639,2032,3,0,0,0,0,0,1,0,0,0,0,0,0,0,true,false,true,2,,,,,
o47152,640,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o89215,640,805,2,0,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o66141,640,64,1,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o53902,641,1273,4,0,0,0,1,0,1,0,0,0,1,0,1,0,true,false,true,2,,,,,
o48012,641,1642,3,0,0,0,0,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o79550,642,1666,5,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
o17683,642,1013,2,0,0,0,0,0,0,1,0,0,0,0,0,1,true,false,true,2,,,,,
o62762,643,2237,4,0,0,0,0,0,1,0,0,0,1,0,1,0,true,false,true,2,,,,,
o51226,643,691,2,0,0,0,0,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o58209,643,2327,12,0,0,0,2,0,5,1,1,0,2,0,1,0,true,false,true,2,,,,,
o21479,644,2700,6,0,0,1,1,0,0,1,1,0,1,0,1,0,true,false,true,2,,,,,
o79427,644,1610,3,0,0,0,0,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o43982,644,1641,6,0,0,0,2,0,1,1,0,0,1,0,0,0,true,false,true,2,,,,,
o53115,644,2517,5,0,0,0,0,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o90937,645,1176,2,0,0,0,0,0,0,1,0,0,1,0,0,0,true,false,true,2,,,,,
