"objectId","inSize","outSize","totalTime","parsing","extractSchema","X2Full","X2Witness","notElim","merge1","groupize","separation","expansion","preparation","merge3","initGEnv","genWitness","genSuccess","noWitness","valid","X.iterations","cancelledAt","dateAndTime","timeout","git","machine"
"o61602",1756,2435,9,0,0,0,2,0,2,1,0,0,2,0,1,0,"True","False","true",2,"","",NA,"",""
"o61594",1757,3183,8,0,0,0,1,0,2,1,0,0,3,1,0,0,"True","False","true",2,"","",NA,"",""
"o60852",1757,2503,5,0,0,0,1,0,0,1,0,0,1,1,0,1,"True","False","true",2,"","",NA,"",""
"o23086",1757,7034,9,0,0,0,1,0,0,2,1,0,1,0,1,0,"True","False","true",2,"","",NA,"",""
"o21851",1758,12145,25,0,0,0,9,0,0,2,4,0,5,1,1,1,"True","False","true",2,"","",NA,"",""
"o83293",1760,3729,6,0,0,1,0,0,0,1,0,1,1,0,0,1,"True","False","true",2,"","",NA,"",""
"o78017",1761,5649,10,0,0,0,1,0,1,1,1,0,3,0,1,1,"True","False","true",2,"","",NA,"",""
"o4832",1764,5931,7,0,0,0,0,0,0,1,1,0,1,0,1,0,"True","False","true",2,"","",NA,"",""
"o27361",1767,9793,13,0,0,0,1,0,1,1,2,0,3,0,1,1,"True","False","true",2,"","",NA,"",""
"o69631",1767,2436,11,0,0,0,4,0,1,1,0,0,3,0,0,1,"True","False","true",2,"","",NA,"",""
"o21492",1768,7334,21,0,0,0,4,0,1,1,1,0,11,0,0,0,"True","False","true",2,"","",NA,"",""
"o2231",1769,3456,7,0,0,0,0,0,0,0,1,0,2,0,2,1,"True","False","true",2,"","",NA,"",""
"o21469",1770,5711,11,0,0,0,3,0,0,1,1,0,3,0,0,1,"True","False","true",2,"","",NA,"",""
"o14475",1770,5703,9,0,0,0,0,0,0,0,0,0,4,0,0,1,"True","False","true",2,"","",NA,"",""
"o56171",1770,6857,9,1,0,0,0,0,0,0,1,0,2,1,1,1,"True","False","true",2,"","",NA,"",""
"o83270",1771,3393,15,0,0,0,1,0,4,1,1,0,4,3,0,0,"True","False","true",2,"","",NA,"",""
"o19087",1776,2464,8,0,0,0,2,0,2,0,0,0,0,1,0,0,"True","False","true",2,"","",NA,"",""
"o21103",1776,1843,7,1,0,0,3,0,1,0,0,0,1,0,0,0,"True","False","true",2,"","",NA,"",""
"o78960",1777,6568,12,0,0,0,2,0,1,2,3,0,1,0,1,0,"True","False","true",2,"","",NA,"",""
"o84873",1778,7995,13,0,0,0,1,0,2,1,2,0,2,1,1,0,"True","False","true",2,"","",NA,"",""
"o75602",1778,8903,15,0,1,0,0,0,1,2,1,0,4,1,1,2,"True","False","true",2,"","",NA,"",""
"o83282",1778,4932,10,0,0,0,3,0,1,1,1,1,2,0,0,1,"True","False","true",2,"","",NA,"",""
"o6182",1778,10034,24,0,0,1,3,0,5,2,4,0,3,1,0,1,"True","False","true",2,"","",NA,"",""
"o13135",1779,4563,11,0,0,1,2,0,2,0,1,1,1,0,0,1,"True","False","true",2,"","",NA,"",""
"o42456",1779,7220,11,1,0,0,0,0,1,1,1,0,2,1,0,1,"True","False","true",2,"","",NA,"",""
"o5146",1780,4106,5,0,0,0,1,0,0,1,1,0,1,0,0,0,"True","False","true",2,"","",NA,"",""
"o69850",1781,6667,10,1,0,0,1,0,0,2,1,0,2,0,0,0,"True","False","true",2,"","",NA,"",""
"o22093",1782,3261,10,1,0,0,3,0,0,1,0,1,1,1,0,1,"True","False","true",2,"","",NA,"",""
"o9405",1782,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"True","False","true",2,"","",NA,"",""
"o47106",1783,3785,8,0,0,0,2,0,0,1,0,1,1,1,0,1,"True","False","true",2,"","",NA,"",""
"o82305",1783,21334,26,0,0,0,3,0,0,4,6,2,2,2,0,0,"True","False","true",2,"","",NA,"",""
"o54552",1784,7806,8,0,0,0,0,0,1,1,1,0,1,0,1,0,"True","False","true",2,"","",NA,"",""
"o90268",1785,3935,8,1,0,0,1,0,0,1,1,0,2,0,0,0,"True","False","true",2,"","",NA,"",""
"o30651",1787,9133,23,0,0,0,2,0,2,2,4,1,7,2,0,0,"True","False","true",3,"","",NA,"",""
"o45189",1791,11259,16,0,0,0,1,0,2,1,3,0,5,1,1,0,"True","False","true",2,"","",NA,"",""
"o81686",1793,3436,10,0,0,0,3,0,1,1,0,0,2,0,0,1,"True","False","true",2,"","",NA,"",""
"o90830",1795,3663,6,0,0,0,0,0,1,1,0,0,2,0,0,0,"True","False","true",2,"","",NA,"",""
"o45159",1795,9630,13,1,0,0,0,0,1,1,2,0,4,0,1,0,"True","False","true",2,"","",NA,"",""
"o45596",1797,7269,22,0,0,0,1,0,0,1,1,0,15,0,0,1,"True","False","true",2,"","",NA,"",""
"o7502",1797,4124,5,0,0,1,0,0,0,1,0,0,0,0,1,0,"True","False","true",2,"","",NA,"",""
"o45310",1798,6117,10,1,0,0,0,0,1,2,1,0,3,0,0,1,"True","False","true",2,"","",NA,"",""
"o66157",1799,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True","False","true",2,"","",NA,"",""
"o54550",1801,8893,11,0,0,0,1,0,1,1,3,1,1,0,0,0,"True","False","true",2,"","",NA,"",""
"o70468",1802,5245,9,0,0,0,3,0,1,1,1,1,1,0,0,0,"True","False","true",2,"","",NA,"",""
