objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o58609,4980,9985,21,0,1,0,5,0,1,1,1,0,5,1,1,1,true,false,true,2,,,,,
o80681,4984,10894,19,0,0,0,3,0,1,1,1,0,6,1,1,3,true,false,true,2,,,,,
o44926,4994,21956,37,0,0,0,7,0,2,6,9,1,3,2,2,0,true,false,true,2,,,,,
o10530,5010,25224,34,0,0,1,7,0,1,3,3,0,9,1,1,1,true,false,true,2,,,,,
o65012,5032,14553,23,0,0,0,6,0,0,1,0,1,8,1,1,0,true,false,true,2,,,,,
o48619,5087,23951,52,0,0,0,5,0,3,4,5,1,17,2,1,4,true,false,true,3,,,,,
o14513,5099,12916,22,0,0,0,1,0,1,2,2,0,10,1,2,0,true,false,true,2,,,,,
o25803,5102,5146,13,0,1,0,0,0,3,1,2,0,3,0,0,0,true,false,true,2,,,,,
o53084,5109,22125,78,0,0,0,4,0,1,2,1,1,55,5,2,1,true,false,true,2,,,,,
o9881,5113,24353,4034,0,0,1,21,0,3643,4,341,0,13,1,2,1,true,false,true,2,,,,,
o34889,5166,19387,30,1,0,0,1,0,3,3,5,1,5,1,2,2,true,false,true,2,,,,,
o57539,5236,9915,35,0,0,0,7,0,2,1,1,0,18,1,1,1,true,false,true,2,,,,,
o25695,5238,36747,50,0,0,0,6,0,2,4,9,2,13,2,3,2,true,false,true,2,,,,,
o78479,5253,7953,15,0,0,0,5,0,2,1,1,1,2,1,0,0,true,false,true,2,,,,,
o79482,5260,30031,75,0,0,0,16,0,3,4,30,1,4,5,2,1,true,false,true,2,,,,,
o78739,5328,24321,37,0,0,0,9,0,1,3,3,0,9,1,1,3,true,false,true,2,,,,,
o90940,5369,18721,81,0,0,0,5,0,1,2,2,1,57,3,2,1,true,false,true,3,,,,,
o58866,5474,10270,53,0,0,0,27,0,10,1,1,0,9,1,1,0,true,false,true,2,,,,,
o61355,5492,13763,30,0,0,0,3,0,1,3,2,1,12,2,2,2,true,false,true,2,,,,,
o50685,5499,20522,36,0,0,0,10,0,2,3,5,0,6,1,2,1,true,false,true,2,,,,,
o5268,5509,8067,22,0,1,0,0,0,4,1,1,0,9,0,1,2,true,false,true,2,,,,,
o61006,5512,9596,31,0,0,0,2,0,10,1,1,0,11,0,1,1,true,false,true,2,,,,,
o58458,5521,9238,20,0,1,0,2,0,1,2,2,0,7,1,1,1,true,false,true,2,,,,,
o75282,5582,15595,26,0,0,0,2,0,3,3,2,1,10,1,1,0,true,false,true,2,,,,,
o89914,5601,19008,70,0,0,0,4,0,1,1,2,1,49,2,1,1,true,false,true,3,,,,,
o71820,5620,17778,34,0,0,1,6,0,2,2,2,1,11,1,2,1,true,false,true,2,,,,,
o61004,5640,17286,25,0,0,0,6,0,1,2,1,0,6,1,1,0,true,false,true,2,,,,,
o72113,5705,10404,21,0,0,0,6,0,1,2,1,2,5,1,1,1,true,false,true,2,,,,,
o76576,5733,26850,52,0,0,0,14,0,2,3,13,1,6,1,2,2,true,false,true,2,,,,,
o14514,5733,14244,27,0,0,0,1,0,1,2,2,0,14,1,1,0,true,false,true,2,,,,,
o25692,5741,38589,53,0,0,0,3,0,1,3,7,2,18,3,3,2,true,false,true,2,,,,,
o57617,5773,22559,32,0,0,0,2,0,2,5,6,2,6,2,2,0,true,false,true,2,,,,,
o73926,5775,6333,15,1,0,0,1,0,1,1,0,0,6,0,1,0,true,false,true,2,,,,,
o71265,5840,7773,10,0,0,1,0,0,0,1,1,0,2,0,1,1,true,false,true,2,,,,,
o88110,5843,10588,18,1,0,0,3,0,2,2,1,0,4,0,2,0,true,false,true,2,,,,,
o63149,5848,20393,32,0,0,0,4,0,2,3,6,0,5,1,2,3,true,false,true,2,,,,,
o67549,5853,16248,23,0,0,0,1,0,3,2,3,0,8,1,1,0,true,false,true,2,,,,,
o57707,5870,14549,20,0,0,1,2,0,1,2,1,0,4,1,1,1,true,false,true,2,,,,,
o75601,5878,25742,80,0,0,1,5,0,4,12,9,1,16,2,3,5,true,false,true,2,,,,,
o71266,5905,8094,15,0,0,1,1,0,0,1,1,1,4,0,1,1,true,false,true,2,,,,,
o61121,5918,8585,27,0,1,0,7,0,2,2,2,1,5,1,2,0,true,false,true,2,,,,,
o46359,5934,6967,29,0,1,0,4,0,7,1,2,1,10,1,0,1,true,false,true,2,,,,,
o55244,5953,7520,17,0,0,1,3,0,0,1,0,0,3,1,1,2,true,false,true,2,,,,,
o91013,5972,20644,61,0,0,0,17,0,6,4,5,0,12,2,2,2,true,false,true,2,,,,,
