"objectId","inSize","outSize","totalTime","parsing","extractSchema","X2Full","X2Witness","notElim","merge1","groupize","separation","expansion","preparation","merge3","initGEnv","genWitness","genSuccess","noWitness","valid","X.iterations","cancelledAt","dateAndTime","timeout","git","machine"
"kb_218_Normalized",500,166,2,0,0,0,0,0,0,0,0,0,1,0,0,1,"true","false","true",2,NA,"",NA,"",""
"kb_334_Normalized",500,649,7,0,0,0,0,0,0,1,0,0,2,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_1056_Normalized",515,988,10,0,0,0,1,0,0,1,0,0,2,0,1,3,"true","false","true",2,NA,"",NA,"",""
"kb_1057_Normalized",515,988,10,1,0,0,0,0,0,1,0,0,2,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_297_Normalized",518,447,4,0,0,0,0,0,0,1,0,0,1,0,2,0,"true","false","true",2,NA,"",NA,"",""
"kb_299_Normalized",518,447,4,0,0,0,1,0,0,0,0,1,0,0,0,1,"true","false","true",2,NA,"",NA,"",""
"kb_298_Normalized",518,447,4,0,1,0,0,0,0,0,0,0,0,0,0,0,"true","false","true",2,NA,"",NA,"",""
"kb_384_Normalized",523,544,5,0,0,0,0,0,0,0,0,0,0,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_383_Normalized",523,544,6,0,0,0,1,0,0,1,0,1,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_755_Normalized",524,664,8,0,0,0,1,0,0,1,0,0,4,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_754_Normalized",524,664,7,0,0,0,0,0,1,0,1,0,3,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_423_Normalized",526,988,9,0,0,0,1,0,0,1,0,0,2,1,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_424_Normalized",526,988,11,0,0,0,1,0,0,1,0,0,2,0,1,3,"true","false","true",2,NA,"",NA,"",""
"kb_131_Normalized",527,649,7,0,0,0,0,0,1,0,1,0,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_132_Normalized",527,649,7,0,0,0,0,0,1,0,1,0,2,1,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_82_Normalized",531,786,6,0,1,0,0,0,0,1,1,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_81_Normalized",531,786,6,0,0,0,1,0,0,1,1,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_634_Normalized",551,634,6,0,0,0,0,0,0,0,0,0,2,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_636_Normalized",551,634,7,0,0,0,1,0,0,1,0,0,1,1,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_635_Normalized",551,634,7,0,0,1,0,0,0,1,0,1,1,1,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_608_Normalized",559,1002,11,1,0,0,0,0,0,1,1,0,3,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_609_Normalized",559,1002,11,0,0,0,1,0,0,1,0,0,2,0,2,2,"true","false","true",2,NA,"",NA,"",""
"kb_41_Normalized",584,1023,11,0,0,0,0,0,0,1,1,0,3,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_42_Normalized",584,1023,15,5,0,0,1,0,0,1,1,0,3,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_580_Normalized",591,1112,46,0,1,0,10,0,0,1,1,0,8,0,21,1,"true","false","true",2,NA,"",NA,"",""
"kb_579_Normalized",591,1112,6,0,0,0,0,0,1,0,1,0,0,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_433_Normalized",613,1280,10,0,0,0,1,0,0,1,1,0,1,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_943_Normalized",613,649,6,1,0,0,0,0,0,1,0,1,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_432_Normalized",613,1280,9,0,0,0,0,0,0,1,0,0,2,0,0,2,"true","false","true",2,NA,"",NA,"",""
"kb_944_Normalized",613,649,5,0,0,0,0,0,0,0,1,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_642_Normalized",618,816,9,0,0,0,1,0,0,1,0,0,3,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_643_Normalized",618,816,9,0,0,1,0,0,0,1,0,0,3,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_1156_Normalized",641,947,6,0,0,0,0,0,1,1,1,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_1155_Normalized",641,947,6,0,0,0,1,0,0,1,1,0,2,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_1125_Normalized",648,1023,9,0,0,0,1,0,0,1,1,0,3,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_1126_Normalized",648,1023,9,0,0,0,1,0,0,1,0,0,2,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_431_Normalized",668,1280,9,0,0,0,0,0,0,1,0,1,1,1,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_410_Normalized",684,1317,7,0,0,0,0,0,1,1,1,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_411_Normalized",684,1317,7,0,0,0,1,0,0,1,1,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_1136_Normalized",687,759,4,0,0,0,1,0,0,0,1,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_975_Normalized",687,1016,8,0,0,0,0,0,0,1,0,1,2,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_1137_Normalized",687,759,4,0,0,0,0,0,0,0,0,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_974_Normalized",687,1016,10,0,0,0,0,0,1,1,1,0,2,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_682_Normalized",688,770,7,1,0,0,0,0,0,0,1,0,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_681_Normalized",688,770,7,0,0,0,1,0,0,1,1,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_1135_Normalized",697,759,4,0,0,0,0,0,0,0,1,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_416_Normalized",703,1280,9,0,0,0,1,0,0,1,0,0,1,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_415_Normalized",703,1280,11,1,0,0,0,0,0,1,1,0,1,1,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_935_Normalized",708,798,6,1,0,0,0,0,0,1,0,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_936_Normalized",708,798,5,0,0,0,0,0,0,0,0,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_537_Normalized",711,640,5,0,0,0,0,0,0,1,0,0,2,0,0,1,"true","false","true",2,NA,"",NA,"",""
"kb_538_Normalized",711,640,6,1,0,0,0,0,0,1,0,0,2,0,0,0,"true","false","true",2,NA,"",NA,"",""
"kb_108_Normalized",720,798,5,0,0,0,0,0,0,1,0,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_107_Normalized",720,798,6,1,0,0,0,0,0,1,0,0,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_61_Normalized",736,1281,9,0,1,0,0,0,1,1,1,0,1,1,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_62_Normalized",736,1281,8,0,0,0,0,0,0,1,1,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_358_Normalized",747,676,7,0,0,0,0,0,1,0,1,0,3,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_359_Normalized",747,676,8,1,0,0,0,0,0,1,1,0,3,0,0,1,"true","false","true",2,NA,"",NA,"",""
"kb_351_Normalized",757,166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"true","false","true",2,NA,"",NA,"",""
"kb_350_Normalized",757,166,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"true","false","true",2,NA,"",NA,"",""
"kb_121_Normalized",764,1868,11,0,0,0,1,0,0,2,1,0,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_122_Normalized",764,1868,11,0,0,0,1,0,1,1,1,0,2,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_414_Normalized",764,1280,9,0,0,0,0,0,0,1,0,0,2,0,0,2,"true","false","true",2,NA,"",NA,"",""
"kb_109_Normalized",767,1011,8,0,0,0,0,0,0,1,1,0,2,0,2,1,"true","false","true",2,NA,"",NA,"",""
"kb_110_Normalized",767,1011,8,1,0,0,0,0,1,1,0,0,1,1,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_385_Normalized",770,1058,9,0,0,0,0,0,0,1,0,1,3,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_386_Normalized",770,1058,9,0,0,0,0,0,0,1,0,0,2,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_352_Normalized",775,166,2,0,0,0,0,0,0,0,0,1,0,0,0,1,"true","false","true",2,NA,"",NA,"",""
"kb_353_Normalized",775,166,2,0,0,0,0,0,0,1,0,0,0,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_745_Normalized",777,1419,11,0,0,1,0,0,1,1,2,0,2,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_744_Normalized",777,1419,11,0,0,0,1,0,0,1,1,0,1,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_127_Normalized",793,800,6,0,1,1,0,0,0,0,0,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_128_Normalized",793,800,4,0,0,1,0,0,0,1,0,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_868_Normalized",796,1254,14,0,0,0,1,0,0,1,1,0,4,0,1,3,"true","false","true",2,NA,"",NA,"",""
"kb_869_Normalized",796,1254,13,0,0,1,0,0,0,1,0,0,3,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_867_Normalized",796,1254,13,0,0,0,1,0,1,1,1,0,4,1,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_866_Normalized",796,1254,13,0,0,0,0,0,1,1,1,0,4,1,1,3,"true","false","true",2,NA,"",NA,"",""
"kb_338_Normalized",805,1103,7,0,1,0,0,0,0,0,1,0,0,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_337_Normalized",805,1103,7,0,0,0,0,0,0,1,0,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_412_Normalized",808,762,9,0,0,0,1,0,0,1,1,1,3,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_413_Normalized",808,762,7,0,0,0,0,0,0,1,0,1,1,1,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_966_Normalized",819,1086,12,0,0,0,0,0,0,1,1,0,5,1,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_967_Normalized",819,1086,12,0,0,0,0,0,0,1,0,0,5,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_938_Normalized",825,1011,10,1,0,0,0,0,1,1,1,0,3,0,2,1,"true","false","true",2,NA,"",NA,"",""
"kb_937_Normalized",825,1011,9,0,0,0,0,0,0,1,0,0,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_547_Normalized",827,770,10,0,0,0,0,0,0,1,0,1,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_546_Normalized",827,770,8,0,0,0,0,0,0,1,0,0,2,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_1082_Normalized",831,1604,13,0,1,0,0,0,0,1,1,0,1,0,1,3,"true","false","true",2,NA,"",NA,"",""
"kb_1081_Normalized",831,1604,13,0,0,1,0,0,0,2,1,0,1,0,1,3,"true","false","true",2,NA,"",NA,"",""
"kb_987_Normalized",837,1204,9,0,0,0,0,0,1,1,1,1,1,1,2,0,"true","false","true",2,NA,"",NA,"",""
"kb_986_Normalized",837,1204,9,0,0,0,1,0,1,1,1,0,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_989_Normalized",837,1204,9,1,0,0,0,0,1,1,0,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_55_Normalized",849,1313,12,0,0,0,1,0,0,2,0,1,4,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_56_Normalized",849,1313,12,0,0,0,0,0,1,1,0,0,2,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_59_Normalized",858,815,10,0,0,0,1,0,0,1,0,0,5,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_60_Normalized",858,815,10,1,0,0,0,0,1,1,0,0,4,0,0,0,"true","false","true",2,NA,"",NA,"",""
"kb_923_Normalized",881,1230,9,0,0,0,0,0,0,1,0,0,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_925_Normalized",881,1230,10,0,0,0,1,0,0,1,1,0,2,1,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_15_Normalized",896,816,6,0,0,0,0,0,0,0,1,0,2,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_14_Normalized",896,816,7,0,0,0,0,0,0,0,0,0,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_158_Normalized",912,1114,12,0,0,0,0,0,0,1,0,1,4,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_155_Normalized",912,1114,12,0,0,0,0,0,1,1,1,1,4,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_157_Normalized",912,1114,12,0,0,0,0,0,1,1,1,1,4,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_156_Normalized",912,1114,12,0,1,0,0,0,1,1,1,0,4,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_656_Normalized",914,1766,10,1,0,0,1,0,1,1,1,0,1,1,2,1,"true","false","true",2,NA,"",NA,"",""
"kb_655_Normalized",914,1766,8,1,0,0,1,0,0,0,0,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_654_Normalized",914,1766,8,0,0,0,1,0,1,1,1,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
